taxonid,Kingdom,Phylum,Class,Order,Family,Genus,Species,Infraspecies,InfraspeciesRank,ScientificNameAuthor,Synonyms,Reference,VernacularName,Country,ThreatStatus,YearEvaluated,NativeStatus,Distribution,DateLastModified,Institutioncode,CollectionCode,CatalogNumber,RecordURL,CollectorNumber,FieldNumber,Collector,StartYearCollected,StartMonthCollected,StartDayCollected,EndYearCollected,EndMonthCollected,EndDayCollected,YearCollected,MonthCollected,DayCollected,JulianDay,StartJulianDay,EndJulianDay,TimeOfDay,StartTimeOfDay,EndTimeOfDay,TimeZone,Subgenus,Subspecies,BasisOfRecord,Source,Citation,ContinentOcean,StateProvince,County,Locality,Longitude,StartLongitude,EndLongitude,Latitude,StartLatitude,EndLatitude,CoordinatePrecision,Start_EndCoordinatePrecision,BoundingBox,MinimumElevation,MaximumElevation,MinimumDepth,MaximumDepth,DepthRange,Temperature,Sex,LifeStage,PreparationType,IndividualCount,ObservedIndividualCount,ObservedWeight,PreviousCatalogNumber,RelationshipType,RelatedCatalogItem,Notes,GMLFeature,CountryID,LocalityLong,LocalityLat,SpeciesPic,NationalStatus,CITESAppendix1,CITESAppendix2,Observer,th,dbh,remarks,origin,dateplanted,seedyear,distribution,characteristics
,samplekingdom,samplephylum,sampleclass,etc.,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,samplekingdom2,samplephylum2,sampleclass2,etc.,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,newEDITEDkingdom3,newEDITEDphylum3,newEDITEDclass3,etc.,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,samplekingdomn,,,,(DELETE THIS ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(DELETE THIS ROW),Do not delete the first row(headers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
